2005,FC Bayern München,Borussia Mönchengladbach,3,0
2005,1. FC Köln,1. FSV Mainz 05,1,0
2005,MSV Duisburg,VfB Stuttgart,1,1
2005,Hamburger SV,1. FC Nürnberg,3,0
2005,VfL Wolfsburg,Borussia Dortmund,2,2
2005,Werder Bremen,Arminia Bielefeld,5,2
2005,Hannover 96,Hertha BSC,2,2
2005,FC Schalke 04,1. FC Kaiserslautern,2,1
2005,Eintracht Frankfurt,Bayer Leverkusen,1,4
2005,Bayer Leverkusen,FC Bayern München,2,5
2005,Borussia Mönchengladbach,VfL Wolfsburg,1,1
2005,Borussia Dortmund,FC Schalke 04,1,2
2005,Hertha BSC,Eintracht Frankfurt,2,0
2005,1. FC Kaiserslautern,MSV Duisburg,5,3
2005,1. FC Nürnberg,Hannover 96,1,1
2005,Arminia Bielefeld,Hamburger SV,0,2
2005,VfB Stuttgart,1. FC Köln,2,3
2005,1. FSV Mainz 05,Werder Bremen,0,2
2005,1. FC Köln,1. FC Kaiserslautern,2,3
2005,FC Schalke 04,Borussia Mönchengladbach,1,1
2005,Hamburger SV,Hannover 96,1,1
2005,VfL Wolfsburg,Bayer Leverkusen,2,1
2005,Werder Bremen,VfB Stuttgart,1,1
2005,FC Bayern München,Hertha BSC,3,0
2005,Eintracht Frankfurt,1. FC Nürnberg,1,0
2005,MSV Duisburg,Borussia Dortmund,1,1
2005,Arminia Bielefeld,1. FSV Mainz 05,2,0
2005,Bayer Leverkusen,FC Schalke 04,1,1
2005,Borussia Mönchengladbach,MSV Duisburg,2,1
2005,1. FC Kaiserslautern,Werder Bremen,1,5
2005,1. FC Nürnberg,FC Bayern München,1,2
2005,VfB Stuttgart,Arminia Bielefeld,1,1
2005,1. FSV Mainz 05,Hamburger SV,1,3
2005,Hannover 96,Eintracht Frankfurt,2,0
2005,Borussia Dortmund,1. FC Köln,2,1
2005,Hertha BSC,VfL Wolfsburg,3,0
2005,1. FC Köln,Borussia Mönchengladbach,2,1
2005,Hamburger SV,Eintracht Frankfurt,1,1
2005,VfL Wolfsburg,1. FC Nürnberg,1,1
2005,Werder Bremen,Borussia Dortmund,3,2
2005,FC Bayern München,Hannover 96,1,0
2005,1. FSV Mainz 05,VfB Stuttgart,1,2
2005,Arminia Bielefeld,1. FC Kaiserslautern,0,0
2005,MSV Duisburg,Bayer Leverkusen,1,3
2005,FC Schalke 04,Hertha BSC,0,0
2005,Borussia Mönchengladbach,Werder Bremen,2,1
2005,Borussia Dortmund,Arminia Bielefeld,2,0
2005,Eintracht Frankfurt,FC Bayern München,0,1
2005,Hannover 96,VfL Wolfsburg,2,4
2005,Bayer Leverkusen,1. FC Köln,2,1
2005,Hertha BSC,MSV Duisburg,3,2
2005,1. FC Kaiserslautern,1. FSV Mainz 05,0,2
2005,1. FC Nürnberg,FC Schalke 04,1,1
2005,VfB Stuttgart,Hamburger SV,1,2
2005,MSV Duisburg,1. FC Nürnberg,1,0
2005,FC Schalke 04,Hannover 96,2,0
2005,Hamburger SV,FC Bayern München,2,0
2005,VfL Wolfsburg,Eintracht Frankfurt,1,0
2005,Werder Bremen,Bayer Leverkusen,2,1
2005,1. FSV Mainz 05,Borussia Dortmund,1,1
2005,Arminia Bielefeld,Borussia Mönchengladbach,0,2
2005,1. FC Köln,Hertha BSC,0,1
2005,VfB Stuttgart,1. FC Kaiserslautern,1,0
2005,Bayer Leverkusen,Arminia Bielefeld,1,1
2005,Borussia Mönchengladbach,1. FSV Mainz 05,1,0
2005,Hertha BSC,Werder Bremen,1,2
2005,1. FC Nürnberg,1. FC Köln,2,1
2005,FC Bayern München,VfL Wolfsburg,2,0
2005,Eintracht Frankfurt,FC Schalke 04,0,1
2005,Hannover 96,MSV Duisburg,1,1
2005,Borussia Dortmund,VfB Stuttgart,0,0
2005,1. FC Kaiserslautern,Hamburger SV,0,3
2005,FC Schalke 04,FC Bayern München,1,1
