Away_Manager_Name,Away_Team_Country,Away_Team_Gender,Away_Team_Name,Away_Team_Score,Competition_Country,Competition_Name,Competition_Stage,Home_Manager_Name,Home_Team_Country,Home_Team_Gender,Home_Team_Name,Home_Team_Score,Referee_Country,Referee_Name,Season_Name,Stadium_Name
José Leonardo Nunes Alves Sousa Jardim,Monaco,male,AS Monaco,3,France,Ligue 1,Regular Season,José Miguel González Martín del Campo,France,male,Marseille,3,France,Clément Turpin,2015/2016,Orange Vélodrome
Frédéric Antonetti,France,male,Lille,0,France,Ligue 1,Regular Season,Stéphane Moulin,France,male,Angers,2,France,Johan Hamel,2015/2016,Stade Raymond-Kopa
Ghislain Printant,France,male,Bastia,0,France,Ligue 1,Regular Season,Michel Der Zakarian,France,male,Nantes,0,France,Nicolas Rainville,2015/2016,Stade de la Beaujoire - Louis Fonteneau
Sylvain Ripoll,France,male,Lorient,1,France,Ligue 1,Regular Season,Thierry Laurey,France,male,Gazélec Ajaccio,1,France,Jérôme Miguelgorry,2015/2016,Stade Ange Casanova (Ajaccio)
Rolland Courbis,France,male,Montpellier,4,France,Ligue 1,Regular Season,Hubert Fournier,France,male,Lyon,2,France,Benoît Millot,2015/2016,Stade de Gerland
José Miguel González Martín del Campo,France,male,Marseille,2,France,Ligue 1,Regular Season,Christophe Galtier,France,male,Saint-Étienne,0,France,Fredy Fautrel,2015/2016,Stade Geoffroy-Guichard 
Patrick Collot,France,male,Lille,1,France,Ligue 1,Regular Season,Jean-Marc Furlan,France,male,Troyes,1,France,Lionel Jaffredo,2015/2016,Stade de l''Aube
Olivier Guégan,France,male,Stade de Reims,1,France,Ligue 1,Regular Season,Rolland Courbis,France,male,Montpellier,3,France,Stéphane Jochem,2015/2016,Stade de la Mosson 
Hubert Fournier,France,male,Lyon,0,France,Ligue 1,Regular Season,Claude Puel,France,male,OGC Nice,3,France,Benoît Bastien,2015/2016,Allianz Riviera 
Christophe Galtier,France,male,Saint-Étienne,0,France,Ligue 1,Regular Season,Hubert Fournier,France,male,Lyon,3,France,Tony Chapron,2015/2016,Stade de Gerland
José Leonardo Nunes Alves Sousa Jardim,Monaco,male,AS Monaco,1,France,Ligue 1,Regular Season,Willy Sagnol,France,male,Bordeaux,3,France,Benoît Millot,2015/2016,Stade Matmut Atlantique
Claude Puel,France,male,OGC Nice,1,France,Ligue 1,Regular Season,José Miguel González Martín del Campo,France,male,Marseille,0,France,Antony Gautier,2015/2016,Orange Vélodrome
Ghislain Printant,France,male,Bastia,1,France,Ligue 1,Regular Season,Hervé Renard,France,male,Lille,1,France,Mikael Lesage,2015/2016,Decathlon Arena ? Stade Pierre-Mauroy
Jean-Marc Furlan,France,male,Troyes,1,France,Ligue 1,Regular Season,Sylvain Ripoll,France,male,Lorient,4,France,Hakim Ben El Hadj Salem,2015/2016,Stade Yves Allainmat - Le Moustoir
Dominique Arribagé,France,male,Toulouse,0,France,Ligue 1,Regular Season,Laurent Blanc,France,male,Paris Saint-Germain,5,France,Johan Hamel,2015/2016,Parc des Princes 
Philippe Jacques William Montanier,France,male,Rennes,2,France,Ligue 1,Regular Season,Stéphane Moulin,France,male,Angers,0,France,Clément Turpin,2015/2016,Stade Raymond-Kopa
José Miguel González Martín del Campo,France,male,Marseille,1,France,Ligue 1,Regular Season,Michel Der Zakarian,France,male,Nantes,0,France,Lionel Jaffredo,2015/2016,Stade de la Beaujoire - Louis Fonteneau
Stéphane Moulin,France,male,Angers,0,France,Ligue 1,Regular Season,José Leonardo Nunes Alves Sousa Jardim,Monaco,male,AS Monaco,1,France,Bartolomeu Varela Teles,2015/2016,Stade Louis II
Hervé Renard,France,male,Lille,0,France,Ligue 1,Regular Season,Claude Puel,France,male,OGC Nice,0,France,Wilfried Bien,2015/2016,Allianz Riviera 
