Away_Manager_Name,Away_Team_Country,Away_Team_Gender,Away_Team_Name,Away_Team_Score,Competition_Country,Competition_Name,Competition_Stage,Home_Manager_Name,Home_Team_Country,Home_Team_Gender,Home_Team_Name,Home_Team_Score,Referee_Country,Referee_Name,Season_Name,Stadium_Name
Marcelino García Toral,Spain,male,Valencia,1,Spain,La Liga,Regular Season,Ernesto Valverde Tejedor,Spain,male,Barcelona,2,Spain,Carlos del Cerro Grande,2017/2018,Spotify Camp Nou
Ernesto Valverde Tejedor,Spain,male,Barcelona,4,Spain,La Liga,Regular Season,Clarence Seedorf,Spain,male,RC Deportivo La Coruña,2,Spain,Ricardo De Burgos Bengoetxea,2017/2018,Estadio Abanca-Riazor
Zinédine Zidane,Spain,male,Real Madrid,2,Spain,La Liga,Regular Season,Ernesto Valverde Tejedor,Spain,male,Barcelona,2,Spain,Alejandro José Hernández Hernández,2017/2018,Spotify Camp Nou
José Ángel Ziganda Lacunza,Spain,male,Athletic Club,0,Spain,La Liga,Regular Season,Ernesto Valverde Tejedor,Spain,male,Barcelona,2,Spain,Santiago Jaime Latre,2017/2018,Spotify Camp Nou
Ernesto Valverde Tejedor,Spain,male,Barcelona,1,Spain,La Liga,Regular Season,Francisco Jémez Martín,Spain,male,Las Palmas,1,Spain,Antonio Miguel Mateu Lahoz,2017/2018,Estadio de Gran Canaria
Ernesto Valverde Tejedor,Spain,male,Barcelona,2,Spain,La Liga,Regular Season,José Luis Mendilibar Etxebarria,Spain,male,Eibar,0,Spain,Alejandro José Hernández Hernández,2017/2018,Estadio Municipal de Ipurúa
Francisco Martín Ayestarán Barandiarán,Spain,male,Las Palmas,0,Spain,La Liga,Regular Season,Ernesto Valverde Tejedor,Spain,male,Barcelona,3,Spain,José Luis Munuera Montero,2017/2018,Spotify Camp Nou
José Luis Mendilibar Etxebarria,Spain,male,Eibar,1,Spain,La Liga,Regular Season,Ernesto Valverde Tejedor,Spain,male,Barcelona,6,Spain,Alejandro José Hernández Hernández,2017/2018,Spotify Camp Nou
Enrique Setién Solar,Spain,male,Real Betis,0,Spain,La Liga,Regular Season,Ernesto Valverde Tejedor,Spain,male,Barcelona,2,Spain,Daniel Jesús Trujillo Suárez,2017/2018,Spotify Camp Nou
Javier Calleja Revilla,Spain,male,Villarreal,1,Spain,La Liga,Regular Season,Ernesto Valverde Tejedor,Spain,male,Barcelona,5,,,2017/2018,Spotify Camp Nou
Ernesto Valverde Tejedor,Spain,male,Barcelona,3,Spain,La Liga,Regular Season,Zinédine Zidane,Spain,male,Real Madrid,0,,,2017/2018,Estadio Santiago Bernabéu
Juan Ramón López Muñiz,Spain,male,Levante UD,0,Spain,La Liga,Regular Season,Ernesto Valverde Tejedor,Spain,male,Barcelona,3,,,2017/2018,Spotify Camp Nou
Ernesto Valverde Tejedor,Spain,male,Barcelona,5,Spain,La Liga,Regular Season,Eder Sarabia Armesto,Spain,male,Real Betis,0,,,2017/2018,Estadio Benito Villamarín
Ernesto Valverde Tejedor,Spain,male,Barcelona,2,Spain,La Liga,Regular Season,José Ángel Ziganda Lacunza,Spain,male,Athletic Club,0,Spain,Juan Martínez Munuera,2017/2018,San Mamés Barria
Enrique Sánchez Flores,Spain,male,Espanyol,0,Spain,La Liga,Regular Season,Ernesto Valverde Tejedor,Spain,male,Barcelona,5,Spain,Jesús Gil Manzano,2017/2018,Spotify Camp Nou
Asier Garitano Aguirrezábal,Spain,male,Leganés,1,Spain,La Liga,Regular Season,Ernesto Valverde Tejedor,Spain,male,Barcelona,3,Spain,Ricardo De Burgos Bengoetxea,2017/2018,Spotify Camp Nou
Ernesto Valverde Tejedor,Spain,male,Barcelona,1,Spain,La Liga,Regular Season,Enrique Sánchez Flores,Spain,male,Espanyol,1,Spain,Jesús Gil Manzano,2017/2018,RCDE Stadium
Juan Carlos Unzué Labiano,Spain,male,Celta Vigo,2,Spain,La Liga,Regular Season,Ernesto Valverde Tejedor,Spain,male,Barcelona,2,,,2017/2018,Spotify Camp Nou
Ernesto Valverde Tejedor,Spain,male,Barcelona,2,Spain,La Liga,Regular Season,Vincenzo Montella,Spain,male,Sevilla,2,Spain,José Luis González González,2017/2018,Estadio Ramón Sánchez Pizjuán
Ernesto Valverde Tejedor,Spain,male,Barcelona,1,Spain,La Liga,Regular Season,Juan Rubén Uría Corral,Spain,male,Valencia,1,Spain,Ignacio Iglesias Villanueva,2017/2018,Estadio de Mestalla
José Bordalás Jiménez,Spain,male,Getafe,0,Spain,La Liga,Regular Season,Ernesto Valverde Tejedor,Spain,male,Barcelona,0,Spain,David Fernández Borbalan,2017/2018,Spotify Camp Nou
Ernesto Valverde Tejedor,Spain,male,Barcelona,2,Spain,La Liga,Regular Season,Javier Calleja Revilla,Spain,male,Villarreal,0,,,2017/2018,Estadio de la Cerámica
Manuel Eduardo Berizzo,Spain,male,Sevilla,1,Spain,La Liga,Regular Season,Ernesto Valverde Tejedor,Spain,male,Barcelona,2,Spain,José Luis González González,2017/2018,Spotify Camp Nou
José Miguel González Martín del Campo,Spain,male,Málaga,0,Spain,La Liga,Regular Season,Ernesto Valverde Tejedor,Spain,male,Barcelona,2,,,2017/2018,Spotify Camp Nou
Ernesto Valverde Tejedor,Spain,male,Barcelona,3,Spain,La Liga,Regular Season,Pablo Javier Machín Díez,Spain,male,Girona,0,Spain,José María Sánchez Martínez,2017/2018,Estadi Municipal de Montilivi
Diego Pablo Simeone,Spain,male,Atlético Madrid,0,Spain,La Liga,Regular Season,Ernesto Valverde Tejedor,Spain,male,Barcelona,1,Spain,Jesús Gil Manzano,2017/2018,Spotify Camp Nou
Pablo Javier Machín Díez,Spain,male,Girona,1,Spain,La Liga,Regular Season,Ernesto Valverde Tejedor,Spain,male,Barcelona,6,,,2017/2018,Spotify Camp Nou
Ernesto Valverde Tejedor,Spain,male,Barcelona,1,Spain,La Liga,Regular Season,Diego Pablo Simeone,Spain,male,Atlético Madrid,1,Spain,Antonio Miguel Mateu Lahoz,2017/2018,"	Estádio Cívitas Metropolitano"
Abelardo Fernández Antuña,Spain,male,Deportivo Alavés,1,Spain,La Liga,Regular Season,Ernesto Valverde Tejedor,Spain,male,Barcelona,2,Spain,Ignacio Iglesias Villanueva,2017/2018,Spotify Camp Nou
Ernesto Valverde Tejedor,Spain,male,Barcelona,2,Spain,La Liga,Regular Season,José Bordalás Jiménez,Spain,male,Getafe,1,Spain,David Fernández Borbalan,2017/2018,Coliseum Alfonso Pérez
Imanol Alguacil Barrenetxea,Spain,male,Real Sociedad,0,Spain,La Liga,Regular Season,Ernesto Valverde Tejedor,Spain,male,Barcelona,1,Spain,José Luis Munuera Montero,2017/2018,Spotify Camp Nou
Ernesto Valverde Tejedor,Spain,male,Barcelona,3,Spain,La Liga,Regular Season,Asier Garitano Aguirrezábal,Spain,male,Leganés,0,Spain,Alberto Undiano Mallenco,2017/2018,Estadio Municipal de Butarque
Ernesto Valverde Tejedor,Spain,male,Barcelona,2,Spain,La Liga,Regular Season,Luis Francisco Zubeldía,Spain,male,Deportivo Alavés,0,Spain,Carlos del Cerro Grande,2017/2018,Estadio de Mendizorroza
Cristóbal Parralo Aguilera,Spain,male,RC Deportivo La Coruña,0,Spain,La Liga,Regular Season,Ernesto Valverde Tejedor,Spain,male,Barcelona,4,Spain,Antonio Miguel Mateu Lahoz,2017/2018,Spotify Camp Nou
Ernesto Valverde Tejedor,Spain,male,Barcelona,4,Spain,La Liga,Regular Season,Eusebio Sacristán Mena,Spain,male,Real Sociedad,2,Spain,José Luis González González,2017/2018,Reale Arena
Ernesto Valverde Tejedor,Spain,male,Barcelona,2,Spain,La Liga,Regular Season,Juan Carlos Unzué Labiano,Spain,male,Celta Vigo,2,Spain,David Fernández Borbalan,2017/2018,Abanca-Balaídos
Luis Enrique Martínez García,Spain,male,Barcelona,2,Spain,La Liga,Regular Season,Jorge Luis Sampaoli Moya,Spain,male,Sevilla,1,,,2016/2017,Estadio Ramón Sánchez Pizjuán
Luis Enrique Martínez García,Spain,male,Barcelona,3,Spain,La Liga,Regular Season,Joaquín de Jesús Caparrós Camino,Spain,male,Osasuna,0,,,2016/2017,Estadio El Sadar
Luis Enrique Martínez García,Spain,male,Barcelona,3,Spain,La Liga,Regular Season,Zinédine Zidane,Spain,male,Real Madrid,2,,,2016/2017,Estadio Santiago Bernabéu
Luis Enrique Martínez García,Spain,male,Barcelona,5,Spain,La Liga,Regular Season,Asier Garitano Aguirrezábal,Spain,male,Leganés,1,,,2016/2017,Estadio Municipal de Butarque
Mauricio Pellegrino,Spain,male,Deportivo Alavés,2,Spain,La Liga,Regular Season,Luis Enrique Martínez García,Spain,male,Barcelona,1,,,2016/2017,Spotify Camp Nou
Luis Enrique Martínez García,Spain,male,Barcelona,1,Spain,La Liga,Regular Season,Ernesto Valverde Tejedor,Spain,male,Athletic Club,0,Spain,Antonio Miguel Mateu Lahoz,2016/2017,San Mamés Barria
Diego Pablo Simeone,Spain,male,Atlético Madrid,1,Spain,La Liga,Regular Season,Luis Enrique Martínez García,Spain,male,Barcelona,1,Spain,David Fernández Borbalan,2016/2017,Spotify Camp Nou
Gustavo Augusto Poyet Domínguez,Spain,male,Real Betis,2,Spain,La Liga,Regular Season,Luis Enrique Martínez García,Spain,male,Barcelona,6,Spain,Alberto Undiano Mallenco,2016/2017,Spotify Camp Nou
Luis Enrique Martínez García,Spain,male,Barcelona,1,Spain,La Liga,Regular Season,Víctor Sánchez del Amo,Spain,male,Real Betis,1,,,2016/2017,Estadio Benito Villamarín
Luis Enrique Martínez García,Spain,male,Barcelona,4,Spain,La Liga,Regular Season,Enrique Setién Solar,Spain,male,Las Palmas,1,Spain,José Luis González González,2016/2017,Estadio de Gran Canaria
Luis Enrique Martínez García,Spain,male,Barcelona,1,Spain,La Liga,Regular Season,Francisco Escriba Segura,Spain,male,Villarreal,1,Spain,Ignacio Iglesias Villanueva,2016/2017,Estadio de la Cerámica
Petar Vasiljevic,Spain,male,Osasuna,1,Spain,La Liga,Regular Season,Luis Enrique Martínez García,Spain,male,Barcelona,7,,,2016/2017,Spotify Camp Nou
Salvador González Marco,Spain,male,Valencia,2,Spain,La Liga,Regular Season,Luis Enrique Martínez García,Spain,male,Barcelona,4,,,2016/2017,Spotify Camp Nou
Luis Enrique Martínez García,Spain,male,Barcelona,3,Spain,La Liga,Regular Season,Claudio Cesare Prandelli,Spain,male,Valencia,2,Spain,Alberto Undiano Mallenco,2016/2017,Estadio de Mestalla
Luis Enrique Martínez García,Spain,male,Barcelona,1,Spain,La Liga,Regular Season,José Mel Pérez,Spain,male,RC Deportivo La Coruña,2,Spain,David Fernández Borbalan,2016/2017,Estadio Abanca-Riazor
Luis Enrique Martínez García,Spain,male,Barcelona,6,Spain,La Liga,Regular Season,Mauricio Pellegrino,Spain,male,Deportivo Alavés,0,Spain,Carlos Clos Gómez,2016/2017,Estadio de Mendizorroza
Enrique Setién Solar,Spain,male,Las Palmas,0,Spain,La Liga,Regular Season,Luis Enrique Martínez García,Spain,male,Barcelona,5,Spain,Alberto Undiano Mallenco,2016/2017,Spotify Camp Nou
Ernesto Valverde Tejedor,Spain,male,Athletic Club,0,Spain,La Liga,Regular Season,Luis Enrique Martínez García,Spain,male,Barcelona,3,Spain,José Luis González González,2016/2017,Spotify Camp Nou
Luis Enrique Martínez García,Spain,male,Barcelona,4,Spain,La Liga,Regular Season,José Luis Mendilibar Etxebarria,Spain,male,Eibar,0,,,2016/2017,Estadio Municipal de Ipurúa
Enrique Sánchez Flores,Spain,male,Espanyol,1,Spain,La Liga,Regular Season,Luis Enrique Martínez García,Spain,male,Barcelona,4,Spain,Antonio Miguel Mateu Lahoz,2016/2017,Spotify Camp Nou
Jorge Luis Sampaoli Moya,Spain,male,Sevilla,0,Spain,La Liga,Regular Season,Luis Enrique Martínez García,Spain,male,Barcelona,3,Spain,Carlos Clos Gómez,2016/2017,Spotify Camp Nou
José Luis Mendilibar Etxebarria,Spain,male,Eibar,2,Spain,La Liga,Regular Season,Luis Enrique Martínez García,Spain,male,Barcelona,4,,,2016/2017,Spotify Camp Nou
Zinédine Zidane,Spain,male,Real Madrid,1,Spain,La Liga,Regular Season,Luis Enrique Martínez García,Spain,male,Barcelona,1,Spain,Carlos Clos Gómez,2016/2017,Spotify Camp Nou
Luis Enrique Martínez García,Spain,male,Barcelona,0,Spain,La Liga,Regular Season,José Miguel González Martín del Campo,Spain,male,Málaga,2,Spain,Jesús Gil Manzano,2016/2017,Estadio La Rosaleda
Eusebio Sacristán Mena,Spain,male,Real Sociedad,2,Spain,La Liga,Regular Season,Luis Enrique Martínez García,Spain,male,Barcelona,3,,,2016/2017,Spotify Camp Nou
Luis Enrique Martínez García,Spain,male,Barcelona,3,Spain,La Liga,Regular Season,Enrique Sánchez Flores,Spain,male,Espanyol,0,Spain,Alberto Undiano Mallenco,2016/2017,RCDE Stadium
Francisco Escriba Segura,Spain,male,Villarreal,1,Spain,La Liga,Regular Season,Luis Enrique Martínez García,Spain,male,Barcelona,4,,,2016/2017,Spotify Camp Nou
Luis Enrique Martínez García,Spain,male,Barcelona,2,Spain,La Liga,Regular Season,Diego Pablo Simeone,Spain,male,Atlético Madrid,1,Spain,Antonio Miguel Mateu Lahoz,2016/2017,Estadio Vicente Calderón
Manuel Eduardo Berizzo,Spain,male,Celta Vigo,0,Spain,La Liga,Regular Season,Luis Enrique Martínez García,Spain,male,Barcelona,5,Spain,Jesús Gil Manzano,2016/2017,Spotify Camp Nou
Luis Enrique Martínez García,Spain,male,Barcelona,1,Spain,La Liga,Regular Season,Eusebio Sacristán Mena,Spain,male,Real Sociedad,1,Spain,Jesús Gil Manzano,2016/2017,Reale Arena
Joan Francesc Ferrer Sicilia,Spain,male,Sporting Gijón,1,Spain,La Liga,Regular Season,Luis Enrique Martínez García,Spain,male,Barcelona,6,,,2016/2017,Spotify Camp Nou
Gaizka Garitano Aguirre,Spain,male,RC Deportivo La Coruña,0,Spain,La Liga,Regular Season,Luis Enrique Martínez García,Spain,male,Barcelona,4,,,2016/2017,Spotify Camp Nou
Asier Garitano Aguirrezábal,Spain,male,Leganés,1,Spain,La Liga,Regular Season,Luis Enrique Martínez García,Spain,male,Barcelona,2,Spain,Ignacio Iglesias Villanueva,2016/2017,Spotify Camp Nou
Luis Lucas Alcaraz González,Spain,male,Granada,0,Spain,La Liga,Regular Season,Luis Enrique Martínez García,Spain,male,Barcelona,1,,,2016/2017,Spotify Camp Nou
Manuel Enrique Jiménez Jiménez,Spain,male,Sevilla,0,Spain,La Liga,Regular Season,Josep Guardiola i Sala,Spain,male,Barcelona,4,Spain,Carlos Delgado,2009/2010,Spotify Camp Nou
José Luis Oltra Castañer,Spain,male,Tenerife,1,Spain,La Liga,Regular Season,Josep Guardiola i Sala,Spain,male,Barcelona,4,Spain,Carlos Delgado,2009/2010,Spotify Camp Nou
Josep Guardiola i Sala,Spain,male,Barcelona,3,Spain,La Liga,Regular Season,Antonio Álvarez,Spain,male,Sevilla,2,Spain,Alberto Undiano Mallenco,2009/2010,Estadio Ramón Sánchez Pizjuán
José Antonio Camacho Alfaro,Spain,male,Osasuna,0,Spain,La Liga,Regular Season,Josep Guardiola i Sala,Spain,male,Barcelona,2,Spain,Carlos Velasco Carballo,2009/2010,Spotify Camp Nou
Marcelino García Toral,Spain,male,Real Zaragoza,1,Spain,La Liga,Regular Season,Josep Guardiola i Sala,Spain,male,Barcelona,6,Spain,José Paradas,2009/2010,Spotify Camp Nou
Josep Guardiola i Sala,Spain,male,Barcelona,4,Spain,La Liga,Regular Season,Juan Carlos Garrido Fernández,Spain,male,Villarreal,1,Spain,Fernando Teixeira,2009/2010,Estadio de la Cerámica
Josep Guardiola i Sala,Spain,male,Barcelona,1,Spain,La Liga,Regular Season,José Antonio Camacho Alfaro,Spain,male,Osasuna,1,Spain,Antonio Rubinos Perez,2009/2010,Estadio El Sadar
Josep Guardiola i Sala,Spain,male,Barcelona,2,Spain,La Liga,Regular Season,José Miguel González Martín del Campo,Spain,male,Getafe,0,Spain,Eduardo Iturralde Gonzalez,2009/2010,Coliseum Alfonso Pérez
Josep Guardiola i Sala,Spain,male,Barcelona,5,Spain,La Liga,Regular Season,José Luis Oltra Castañer,Spain,male,Tenerife,0,Spain,Miguel Pérez,2009/2010,Estadio Heliodoro Rodríguez Lopéz
Josep Guardiola i Sala,Spain,male,Barcelona,3,Spain,La Liga,Regular Season,Miguel Ángel Lotina Oruecheberría,Spain,male,RC Deportivo La Coruña,1,Spain,David Fernández Borbalan,2009/2010,Estadio Abanca-Riazor
Gregorio Manzano Ballesteros,Spain,male,Mallorca,2,Spain,La Liga,Regular Season,Josep Guardiola i Sala,Spain,male,Barcelona,4,Spain,Turienzo,2009/2010,Spotify Camp Nou
Javier Clemente Lazaro,Spain,male,Real Valladolid,0,Spain,La Liga,Regular Season,Josep Guardiola i Sala,Spain,male,Barcelona,4,Spain,Miguel Pérez,2009/2010,Spotify Camp Nou
,Spain,male,Almería,0,Spain,La Liga,Regular Season,,Spain,male,Barcelona,1,Spain,Carlos Velasco Carballo,2009/2010,Spotify Camp Nou
Josep Guardiola i Sala,Spain,male,Barcelona,1,Spain,La Liga,Regular Season,Gregorio Manzano Ballesteros,Spain,male,Mallorca,0,Spain,David Fernández Borbalan,2009/2010,Estadi Mallorca Son Moix
Josep Guardiola i Sala,Spain,male,Barcelona,2,Spain,La Liga,Regular Season,Manuel Luis Pellegrini Ripamonti,Spain,male,Real Madrid,0,Spain,Manuel Enrique Mejuto Gonzalez,2009/2010,Estadio Santiago Bernabéu
Unai Emery Etxegoien,Spain,male,Valencia,0,Spain,La Liga,Regular Season,Josep Guardiola i Sala,Spain,male,Barcelona,3,Spain,César Muñiz,2009/2010,Spotify Camp Nou
Josep Guardiola i Sala,Spain,male,Barcelona,3,Spain,La Liga,Regular Season,José Luis Mendilibar Etxebarria,Spain,male,Real Valladolid,0,Spain,Rafael Ramírez Domínguez,2009/2010,Estadio Municipal José Zorrilla
Josep Guardiola i Sala,Spain,male,Barcelona,1,Spain,La Liga,Regular Season,Manuel Preciado Rebolledo,Spain,male,Sporting Gijón,0,Spain,José Paradas,2009/2010,Estadio Municipal El Molinón
Josep Guardiola i Sala,Spain,male,Barcelona,1,Spain,La Liga,Regular Season,Enrique Sánchez Flores,Spain,male,Atlético Madrid,2,Spain,Eduardo Iturralde Gonzalez,2009/2010,Estadio Vicente Calderón
Josep Guardiola i Sala,Spain,male,Barcelona,2,Spain,La Liga,Regular Season,Juan Manuel Lillo Díez,Spain,male,Almería,2,Spain,Carlos Clos Gómez,2009/2010,Power Horse Stadium ? Estadio de los Juegos Mediterráneos
Josep Guardiola i Sala,Spain,male,Barcelona,0,Spain,La Liga,Regular Season,Unai Emery Etxegoien,Spain,male,Valencia,0,Spain,Alfonso Perez Burrull,2009/2010,Estadio de Mestalla
Josep Guardiola i Sala,Spain,male,Barcelona,2,Spain,La Liga,Regular Season,Juan Ramón López Muñiz,Spain,male,Málaga,0,Spain,Carlos Delgado,2009/2010,Estadio La Rosaleda
Néstor Raúl Gorosito,Spain,male,Xerez,1,Spain,La Liga,Regular Season,Josep Guardiola i Sala,Spain,male,Barcelona,3,Spain,César Muñiz,2009/2010,Spotify Camp Nou
Manuel Luis Pellegrini Ripamonti,Spain,male,Real Madrid,0,Spain,La Liga,Regular Season,Josep Guardiola i Sala,Spain,male,Barcelona,1,Spain,Alberto Undiano Mallenco,2009/2010,Spotify Camp Nou
José Miguel González Martín del Campo,Spain,male,Getafe,1,Spain,La Liga,Regular Season,Josep Guardiola i Sala,Spain,male,Barcelona,2,Spain,Fernando Teixeira,2009/2010,Spotify Camp Nou
Miguel Ángel Portugal Vicario,Spain,male,Racing Santander,0,Spain,La Liga,Regular Season,Josep Guardiola i Sala,Spain,male,Barcelona,4,Spain,David Fernández Borbalan,2009/2010,Spotify Camp Nou
Josep Guardiola i Sala,Spain,male,Barcelona,0,Spain,La Liga,Regular Season,Mauricio Roberto Pochettino Trossero,Spain,male,Espanyol,0,Spain,Alberto Undiano Mallenco,2009/2010,RCDE Stadium
Juan Ramón López Muñiz,Spain,male,Málaga,1,Spain,La Liga,Regular Season,Josep Guardiola i Sala,Spain,male,Barcelona,2,Spain,Antonio Rubinos Perez,2009/2010,Spotify Camp Nou
Josep Guardiola i Sala,Spain,male,Barcelona,2,Spain,La Liga,Regular Season,José Ángel Ziganda Lacunza,Spain,male,Xerez,0,Spain,Carlos Velasco Carballo,2009/2010,Estadio Municipal de Chapín
Josep Guardiola i Sala,Spain,male,Barcelona,1,Spain,La Liga,Regular Season,Joaquín de Jesús Caparrós Camino,Spain,male,Athletic Club,1,Spain,Fernando Teixeira,2009/2010,Estadio San Mamés
Josep Guardiola i Sala,Spain,male,Barcelona,4,Spain,La Liga,Regular Season,Juan Carlos Mandiá Lorenzo,Spain,male,Racing Santander,1,Spain,Antonio Miguel Mateu Lahoz,2009/2010,Campos de Sport de El Sardinero
Abel Resino Gómez,Spain,male,Atlético Madrid,2,Spain,La Liga,Regular Season,Josep Guardiola i Sala,Spain,male,Barcelona,5,Spain,Manuel Enrique Mejuto Gonzalez,2009/2010,Spotify Camp Nou
Josep Guardiola i Sala,Spain,male,Barcelona,4,Spain,La Liga,Regular Season,José Aurelio Gay López,Spain,male,Real Zaragoza,2,Spain,Carlos Delgado,2009/2010,Estadio de la Romareda
Joaquín de Jesús Caparrós Camino,Spain,male,Athletic Club,1,Spain,La Liga,Regular Season,Josep Guardiola i Sala,Spain,male,Barcelona,4,Spain,Antonio Miguel Mateu Lahoz,2009/2010,Spotify Camp Nou
Miguel Ángel Lotina Oruecheberría,Spain,male,RC Deportivo La Coruña,0,Spain,La Liga,Regular Season,Josep Guardiola i Sala,Spain,male,Barcelona,3,Spain,José Paradas,2009/2010,Spotify Camp Nou
Enrique Sánchez Flores,Spain,male,Atlético Madrid,0,Spain,La Liga,Regular Season,Josep Guardiola i Sala,Spain,male,Barcelona,3,Spain,Turienzo,2010/2011,Spotify Camp Nou
Josep Guardiola i Sala,Spain,male,Barcelona,1,Spain,La Liga,Regular Season,Juan Carlos Garrido Fernández,Spain,male,Villarreal,0,Spain,Rafael Ramírez Domínguez,2010/2011,Estadio de la Cerámica
Josep Guardiola i Sala,Spain,male,Barcelona,3,Spain,La Liga,Regular Season,José Antonio Camacho Alfaro,Spain,male,Osasuna,0,Spain,Fernando Teixeira,2010/2011,Estadio El Sadar
José Luis Mendilibar Etxebarria,Spain,male,Osasuna,0,Spain,La Liga,Regular Season,Josep Guardiola i Sala,Spain,male,Barcelona,2,Spain,Carlos Delgado,2010/2011,Spotify Camp Nou
,Spain,male,Almería,1,Spain,La Liga,Regular Season,,Spain,male,Barcelona,3,Spain,Miguel Ayza,2010/2011,Spotify Camp Nou
Manuel Luis Pellegrini Ripamonti,Spain,male,Málaga,1,Spain,La Liga,Regular Season,Josep Guardiola i Sala,Spain,male,Barcelona,4,Spain,José Luis González González,2010/2011,Spotify Camp Nou
Josep Guardiola i Sala,Spain,male,Barcelona,5,Spain,La Liga,Regular Season,Mauricio Roberto Pochettino Trossero,Spain,male,Espanyol,1,Spain,Alberto Undiano Mallenco,2010/2011,RCDE Stadium
Miguel Ángel Portugal Vicario,Spain,male,Racing Santander,0,Spain,La Liga,Regular Season,Josep Guardiola i Sala,Spain,male,Barcelona,3,Spain,Ignacio Iglesias Villanueva,2010/2011,Spotify Camp Nou
Josep Guardiola i Sala,Spain,male,Barcelona,3,Spain,La Liga,Regular Season,José Miguel González Martín del Campo,Spain,male,Getafe,1,Spain,Miguel Ayza,2010/2011,Coliseum Alfonso Pérez
José Miguel González Martín del Campo,Spain,male,Getafe,1,Spain,La Liga,Regular Season,Josep Guardiola i Sala,Spain,male,Barcelona,2,Spain,César Muñiz,2010/2011,Spotify Camp Nou
Josep Guardiola i Sala,Spain,male,Barcelona,1,Spain,La Liga,Regular Season,José Mario Felix dos Santos Mourinho,Spain,male,Real Madrid,1,Spain,César Muñiz,2010/2011,Estadio Santiago Bernabéu
Esteban Vigo Benítez,Spain,male,Hércules,2,Spain,La Liga,Regular Season,Josep Guardiola i Sala,Spain,male,Barcelona,0,Spain,Carlos Velasco Carballo,2010/2011,Spotify Camp Nou
Josep Guardiola i Sala,Spain,male,Barcelona,3,Spain,La Liga,Regular Season,Esteban Vigo Benítez,Spain,male,Hércules,0,Spain,David Fernández Borbalan,2010/2011,Estadio José Rico Pérez
Unai Emery Etxegoien,Spain,male,Valencia,1,Spain,La Liga,Regular Season,Josep Guardiola i Sala,Spain,male,Barcelona,2,Spain,Fernando Teixeira,2010/2011,Spotify Camp Nou
Josep Guardiola i Sala,Spain,male,Barcelona,2,Spain,La Liga,Regular Season,Enrique Sánchez Flores,Spain,male,Atlético Madrid,1,Spain,David Fernández Borbalan,2010/2011,Estadio Vicente Calderón
Josep Guardiola i Sala,Spain,male,Barcelona,1,Spain,La Liga,Regular Season,Martín Lasarte Arrospide,Spain,male,Real Sociedad,2,Spain,Fernando Teixeira,2010/2011,Reale Arena
Martín Lasarte Arrospide,Spain,male,Real Sociedad,0,Spain,La Liga,Regular Season,Josep Guardiola i Sala,Spain,male,Barcelona,5,Spain,David Fernández Borbalan,2010/2011,Spotify Camp Nou
Joaquín de Jesús Caparrós Camino,Spain,male,Athletic Club,1,Spain,La Liga,Regular Season,Josep Guardiola i Sala,Spain,male,Barcelona,2,Spain,Rafael Ramírez Domínguez,2010/2011,Spotify Camp Nou
Josep Guardiola i Sala,Spain,male,Barcelona,1,Spain,La Liga,Regular Season,Unai Emery Etxegoien,Spain,male,Valencia,0,Spain,Eduardo Iturralde Gonzalez,2010/2011,Estadio de Mestalla
Josep Guardiola i Sala,Spain,male,Barcelona,3,Spain,La Liga,Regular Season,Michael Laudrup,Spain,male,Mallorca,0,Spain,Carlos Velasco Carballo,2010/2011,Estadi Mallorca Son Moix
Josep Guardiola i Sala,Spain,male,Barcelona,4,Spain,La Liga,Regular Season,Miguel Ángel Lotina Oruecheberría,Spain,male,RC Deportivo La Coruña,0,Spain,Carlos Delgado,2010/2011,Estadio Abanca-Riazor
Josep Guardiola i Sala,Spain,male,Barcelona,3,Spain,La Liga,Regular Season,Miguel Ángel Portugal Vicario,Spain,male,Racing Santander,0,Spain,Carlos Delgado,2010/2011,Campos de Sport de El Sardinero
Josep Guardiola i Sala,Spain,male,Barcelona,1,Spain,La Liga,Regular Season,Gregorio Manzano Ballesteros,Spain,male,Sevilla,1,Spain,Miguel Pérez,2010/2011,Estadio Ramón Sánchez Pizjuán
Michael Laudrup,Spain,male,Mallorca,1,Spain,La Liga,Regular Season,Josep Guardiola i Sala,Spain,male,Barcelona,1,Spain,Alberto Undiano Mallenco,2010/2011,Spotify Camp Nou
Mauricio Roberto Pochettino Trossero,Spain,male,Espanyol,0,Spain,La Liga,Regular Season,Josep Guardiola i Sala,Spain,male,Barcelona,2,Spain,David Fernández Borbalan,2010/2011,Spotify Camp Nou
Josep Guardiola i Sala,Spain,male,Barcelona,1,Spain,La Liga,Regular Season,Luis García Plaza,Spain,male,Levante UD,1,Spain,José Paradas,2010/2011,Estadio Ciudad de Valencia
Juan Carlos Garrido Fernández,Spain,male,Villarreal,1,Spain,La Liga,Regular Season,Josep Guardiola i Sala,Spain,male,Barcelona,3,Spain,Carlos Delgado,2010/2011,Spotify Camp Nou
José Mario Felix dos Santos Mourinho,Spain,male,Real Madrid,0,Spain,La Liga,Regular Season,Josep Guardiola i Sala,Spain,male,Barcelona,5,Spain,Eduardo Iturralde Gonzalez,2010/2011,Spotify Camp Nou
Javier Aguirre Onaindía,Spain,male,Real Zaragoza,0,Spain,La Liga,Regular Season,Josep Guardiola i Sala,Spain,male,Barcelona,1,Spain,Fernando Teixeira,2010/2011,Spotify Camp Nou
