season,localTeam,visitorTeam,localGoals,visitorGoals,
1980-81,'Atletico de Bilbao','Las Palmas',1,3,
1980-81,Espanol,'Sporting de Gijon',1,0,
1980-81,Murcia,Valencia,0,2,
1980-81,'Real Madrid',Hercules,3,0,
1980-81,Salamanca,'Atletico de Madrid',1,1,
1980-81,Sevilla,Osasuna,1,0,
1980-81,Valladolid,Betis,2,1,
1980-81,Zaragoza,Barcelona,1,2,
1980-81,'Las Palmas',Sevilla,1,2,
1980-81,'Atletico de Madrid','Sporting de Gijon',0,0,
1980-81,Barcelona,'Real Madrid',2,1,
1980-81,Betis,'AD Almeria',2,0,
1980-81,Hercules,Valladolid,1,1,
1980-81,'Real Sociedad','Atletico de Bilbao',4,1,
1980-81,Salamanca,Zaragoza,3,1,
1980-81,Valencia,Espanol,3,1,
1980-81,Osasuna,Murcia,3,1,
1980-81,'AD Almeria',Hercules,0,3,
1980-81,'Atletico de Bilbao',Betis,2,0,
1980-81,Espanol,Osasuna,0,0,
1980-81,'Sporting de Gijon',Valencia,0,0,
1980-81,Murcia,'Las Palmas',1,2,
1980-81,'Real Madrid',Salamanca,2,0,
1980-81,Sevilla,'Real Sociedad',0,0,
1980-81,Valladolid,Barcelona,1,1,
1980-81,Zaragoza,'Atletico de Madrid',0,1,
1980-81,Barcelona,'AD Almeria',6,0,
1980-81,'Las Palmas',Espanol,2,0,
1980-81,'Atletico de Madrid',Valencia,3,1,
1980-81,Betis,Sevilla,2,0,
1980-81,Hercules,'Atletico de Bilbao',1,2,
1980-81,Osasuna,'Sporting de Gijon',3,0,
1980-81,'Real Sociedad',Murcia,1,0,
1980-81,Salamanca,Valladolid,2,1,
1980-81,Zaragoza,'Real Madrid',0,0,
1980-81,'AD Almeria',Salamanca,3,2,
1980-81,'Atletico de Bilbao',Barcelona,4,1,
1980-81,'Atletico de Madrid','Real Madrid',3,1,
1980-81,Espanol,'Real Sociedad',0,0,
1980-81,'Sporting de Gijon','Las Palmas',2,1,
1980-81,Murcia,Betis,2,0,
1980-81,Sevilla,Hercules,0,0,
1980-81,Valencia,Osasuna,4,1,
1980-81,Valladolid,Zaragoza,1,1,
1980-81,'Las Palmas',Valencia,1,4,
1980-81,Barcelona,Sevilla,3,1,
1980-81,Betis,Espanol,1,2,
1980-81,Hercules,Murcia,1,0,
1980-81,Osasuna,'Atletico de Madrid',0,0,
1980-81,'Real Sociedad','Sporting de Gijon',1,2,
1980-81,'Real Madrid',Valladolid,1,1,
1980-81,Salamanca,'Atletico de Bilbao',3,2,
1980-81,Zaragoza,'AD Almeria',1,0,
1980-81,'Las Palmas',Osasuna,2,0,
1980-81,Barcelona,Murcia,1,0,
1980-81,Betis,'Sporting de Gijon',2,0,
1980-81,Hercules,Espanol,2,0,
1980-81,'Real Sociedad',Valencia,2,1,
1980-81,'Real Madrid','AD Almeria',4,0,
1980-81,Salamanca,Sevilla,0,0,
1980-81,Valladolid,'Atletico de Madrid',0,2,
1980-81,Zaragoza,'Atletico de Bilbao',2,3,
1980-81,'AD Almeria',Valladolid,1,1,
1980-81,'Atletico de Bilbao','Real Madrid',1,1,
1980-81,'Atletico de Madrid','Las Palmas',2,2,
1980-81,Betis,Valencia,1,1,
1980-81,Espanol,Barcelona,1,0,
1980-81,'Sporting de Gijon',Hercules,3,1,
1980-81,Murcia,Salamanca,1,1,
1980-81,Osasuna,'Real Sociedad',0,3,
1980-81,Sevilla,Zaragoza,0,0,
1980-81,'Real Sociedad','Las Palmas',2,0,
1980-81,'AD Almeria','Atletico de Madrid',2,1,
1980-81,Barcelona,'Sporting de Gijon',3,1,
1980-81,Betis,Osasuna,1,1,
1980-81,Hercules,Valencia,1,1,
1980-81,'Real Madrid',Sevilla,3,2,
1980-81,Salamanca,Espanol,3,2,
1980-81,Valladolid,'Atletico de Bilbao',0,0,
1980-81,Zaragoza,Murcia,1,6,
1980-81,'Las Palmas',Betis,2,4,
1980-81,'Atletico de Bilbao','AD Almeria',5,1,
1980-81,'Atletico de Madrid','Real Sociedad',2,0,
1980-81,Espanol,Zaragoza,1,1,
1980-81,'Sporting de Gijon',Salamanca,4,0,
1980-81,Murcia,'Real Madrid',1,1,
1980-81,Osasuna,Hercules,1,2,
1980-81,Sevilla,Valladolid,1,0,
1980-81,Valencia,Barcelona,3,3,
1980-81,'AD Almeria',Sevilla,0,0,
1980-81,'Atletico de Bilbao','Atletico de Madrid',3,1,
1980-81,Barcelona,Osasuna,6,0,
1980-81,Betis,'Real Sociedad',1,0,
1980-81,Hercules,'Las Palmas',2,3,
1980-81,'Real Madrid',Espanol,1,2,
1980-81,Salamanca,Valencia,0,1,
1980-81,Valladolid,Murcia,1,0,
1980-81,Zaragoza,'Sporting de Gijon',0,0,
1980-81,'Las Palmas',Barcelona,1,4,
1980-81,'Atletico de Madrid',Betis,0,4,
1980-81,Espanol,Valladolid,0,0,
1980-81,'Sporting de Gijon','Real Madrid',4,0,
1980-81,Murcia,'AD Almeria',2,1,
1980-81,Osasuna,Salamanca,1,1,
1980-81,'Real Sociedad',Hercules,1,1,
1980-81,Sevilla,'Atletico de Bilbao',2,0,
1980-81,Valencia,Zaragoza,3,0,
1980-81,'AD Almeria',Espanol,2,0,
1980-81,'Atletico de Bilbao',Murcia,3,0,
1980-81,Barcelona,'Real Sociedad',2,0,
1980-81,Hercules,Betis,0,1,
1980-81,'Real Madrid',Valencia,2,1,
1980-81,Salamanca,'Las Palmas',0,2,
1980-81,Sevilla,'Atletico de Madrid',1,1,
1980-81,Valladolid,'Sporting de Gijon',1,2,
1980-81,Zaragoza,Osasuna,3,1,
1980-81,'Las Palmas',Zaragoza,3,0,
1980-81,'Atletico de Madrid',Hercules,1,0,
1980-81,Betis,Barcelona,1,1,
1980-81,Espanol,'Atletico de Bilbao',1,0,
1980-81,'Sporting de Gijon','AD Almeria',5,2,
1980-81,Murcia,Sevilla,0,0,
1980-81,Osasuna,'Real Madrid',1,2,
1980-81,'Real Sociedad',Salamanca,1,0,
1980-81,Valencia,Valladolid,2,2,
1980-81,'Real Madrid','Las Palmas',3,0,
1980-81,'AD Almeria',Valencia,1,0,
1980-81,'Atletico de Bilbao','Sporting de Gijon',1,1,
1980-81,Barcelona,Hercules,6,0,
1980-81,Murcia,'Atletico de Madrid',0,2,
1980-81,Salamanca,Betis,2,0,
1980-81,Sevilla,Espanol,2,0,
1980-81,Valladolid,Osasuna,2,1,
1980-81,Zaragoza,'Real Sociedad',0,1,
1980-81,'Atletico de Madrid',Barcelona,1,0,
1980-81,Betis,Zaragoza,2,0,
1980-81,Espanol,Murcia,2,1,
1980-81,'Sporting de Gijon',Sevilla,3,0,
1980-81,Hercules,Salamanca,3,2,
1980-81,'Las Palmas',Valladolid,0,2,
1980-81,Osasuna,'AD Almeria',2,1,
1980-81,'Real Sociedad','Real Madrid',3,1,
1980-81,Valencia,'Atletico de Bilbao',0,0,
1980-81,'AD Almeria','Las Palmas',0,1,
1980-81,'Atletico de Bilbao',Osasuna,1,1,
1980-81,Espanol,'Atletico de Madrid',2,0,
1980-81,Murcia,'Sporting de Gijon',2,1,
1980-81,'Real Madrid',Betis,4,2,
1980-81,Salamanca,Barcelona,2,1,
1980-81,Sevilla,Valencia,1,0,
1980-81,Valladolid,'Real Sociedad',0,0,
1980-81,Zaragoza,Hercules,1,1,
1980-81,'Las Palmas','Atletico de Bilbao',1,3,
1980-81,'Atletico de Madrid',Salamanca,1,1,
1980-81,Barcelona,Zaragoza,0,0,
1980-81,Betis,Valladolid,2,2,
1980-81,'Sporting de Gijon',Espanol,0,1,
1980-81,Hercules,'Real Madrid',1,2,
1980-81,Osasuna,Sevilla,2,1,
1980-81,'Real Sociedad','AD Almeria',3,1,
1980-81,Valencia,Murcia,3,2,
1980-81,'AD Almeria',Betis,0,2,
1980-81,'Atletico de Bilbao','Real Sociedad',0,2,
1980-81,Espanol,Valencia,1,2,
1980-81,'Sporting de Gijon','Atletico de Madrid',3,0,
1980-81,Murcia,Osasuna,1,0,
1980-81,'Real Madrid',Barcelona,3,0,
1980-81,Sevilla,'Las Palmas',3,2,
1980-81,Valladolid,Hercules,2,1,
1980-81,Zaragoza,Salamanca,2,0,
1980-81,'Las Palmas',Murcia,1,2,
1980-81,Salamanca,'Real Madrid',1,3,
1980-81,'Atletico de Madrid',Zaragoza,1,2,
1980-81,Barcelona,Valladolid,2,1,
1980-81,Betis,'Atletico de Bilbao',2,0,
1980-81,Hercules,'AD Almeria',1,0,
1980-81,Osasuna,Espanol,1,0,
1980-81,'Real Sociedad',Sevilla,3,0,
1980-81,Valencia,'Sporting de Gijon',3,1,
1980-81,'AD Almeria',Barcelona,2,5,
1980-81,'Atletico de Bilbao',Hercules,5,3,
1980-81,Espanol,'Las Palmas',3,1,
1980-81,'Sporting de Gijon',Osasuna,5,1,
1980-81,Murcia,'Real Sociedad',0,2,
1980-81,'Real Madrid',Zaragoza,2,0,
1980-81,Sevilla,Betis,2,1,
1980-81,Valencia,'Atletico de Madrid',1,1,
1980-81,Valladolid,Salamanca,3,0,
1980-81,Barcelona,'Atletico de Bilbao',0,1,
1980-81,Betis,Murcia,1,0,
1980-81,Hercules,Sevilla,5,1,
1980-81,'Las Palmas','Sporting de Gijon',3,1,
1980-81,Osasuna,Valencia,2,0,
1980-81,'Real Sociedad',Espanol,2,1,
1980-81,'Real Madrid','Atletico de Madrid',2,0,
1980-81,Salamanca,'AD Almeria',2,1,
1980-81,Zaragoza,Valladolid,1,1,
1980-81,'Atletico de Bilbao',Salamanca,6,1,
1980-81,'AD Almeria',Zaragoza,3,1,
1980-81,'Atletico de Madrid',Osasuna,0,0,
1980-81,Espanol,Betis,1,2,
1980-81,'Sporting de Gijon','Real Sociedad',2,2,
1980-81,Murcia,Hercules,2,2,
1980-81,Sevilla,Barcelona,1,1,
1980-81,Valencia,'Las Palmas',3,1,
1980-81,Valladolid,'Real Madrid',1,3,
1980-81,Elche,Oviedo,2,1,
1980-81,Castilla,Barakaldo,1,0,
1980-81,'Recreativo de Huelva',Castellon,1,1,
1980-81,'AD Ceuta','CD Malaga',2,0,
1980-81,Santander,'Atletico Madrileno',1,1,
1980-81,Burgos,Levante,1,1,
1980-81,Sabadell,Cadiz,0,1,
1980-81,'Rayo Vallecano','Linares CF',3,1,
1980-81,'Getafe Deportivo',Alaves,0,2,
1980-81,'Palencia CF',Granada,0,0,
1980-81,Oviedo,Sabadell,0,0,
1980-81,Granada,'Rayo Vallecano',1,3,
1980-81,'Linares CF','Recreativo de Huelva',0,0,
1980-81,Levante,Elche,2,1,
1980-81,Castellon,Santander,2,0,
1980-81,Cadiz,'AD Ceuta',2,0,
1980-81,'CD Malaga','Getafe Deportivo',0,0,
1980-81,Barakaldo,'Palencia CF',2,1,
1980-81,'Atletico Madrileno',Burgos,3,2,
1980-81,Alaves,Castilla,1,1,
1980-81,Castilla,'CD Malaga',2,0,
1980-81,Elche,'Atletico Madrileno',4,0,
1980-81,Sabadell,Levante,0,0,
1980-81,Burgos,Castellon,0,1,
1980-81,'Palencia CF',Alaves,1,0,
1980-81,'AD Ceuta',Oviedo,3,2,
1980-81,Santander,'Linares CF',0,0,
1980-81,Granada,Barakaldo,0,0,
1980-81,'Getafe Deportivo',Cadiz,0,0,
1980-81,'Rayo Vallecano','Recreativo de Huelva',1,0,
1980-81,Cadiz,Castilla,2,1,
1980-81,'Recreativo de Huelva',Santander,0,0,
1980-81,'Atletico Madrileno',Sabadell,1,1,
1980-81,Castellon,Elche,3,0,
1980-81,Alaves,Granada,1,1,
1980-81,Oviedo,'Getafe Deportivo',4,0,
1980-81,'Linares CF',Burgos,2,0,
1980-81,'CD Malaga','Palencia CF',0,0,
1980-81,Levante,'AD Ceuta',2,1,
1980-81,Barakaldo,'Rayo Vallecano',0,0,
1980-81,Castilla,Oviedo,2,1,
1980-81,Sabadell,Castellon,1,1,
1980-81,Granada,'CD Malaga',0,0,
1980-81,'AD Ceuta','Atletico Madrileno',3,3,
1980-81,'Getafe Deportivo',Levante,2,0,
1980-81,'Rayo Vallecano',Santander,0,0,
1980-81,Burgos,'Recreativo de Huelva',3,0,
1980-81,Barakaldo,Alaves,2,2,
1980-81,'Palencia CF',Cadiz,2,1,
1980-81,Elche,'Linares CF',2,0,
1980-81,'Recreativo de Huelva',Elche,0,0,
1980-81,Alaves,'Rayo Vallecano',1,0,
1980-81,Castellon,'AD Ceuta',2,1,
1980-81,Levante,Castilla,0,0,
1980-81,Oviedo,'Palencia CF',2,1,
1980-81,Cadiz,Granada,1,0,
1980-81,'Atletico Madrileno','Getafe Deportivo',2,2,
1980-81,'CD Malaga',Barakaldo,1,1,
1980-81,Santander,Burgos,2,3,
1980-81,'Linares CF',Sabadell,3,1,
1980-81,Castilla,'Atletico Madrileno',1,1,
1980-81,Sabadell,'Recreativo de Huelva',0,0,
1980-81,Elche,Santander,0,4,
1980-81,Granada,Oviedo,2,0,
1980-81,'Rayo Vallecano',Burgos,2,0,
1980-81,'AD Ceuta','Linares CF',0,0,
1980-81,'Getafe Deportivo',Castellon,1,1,
1980-81,Alaves,'CD Malaga',1,1,
1980-81,'Palencia CF',Levante,1,0,
1980-81,Barakaldo,Cadiz,2,0,
1980-81,Santander,Sabadell,3,0,
1980-81,Cadiz,Alaves,1,0,
1980-81,'CD Malaga','Rayo Vallecano',1,0,
1980-81,Oviedo,Barakaldo,3,0,
1980-81,Levante,Granada,0,0,
1980-81,Castellon,Castilla,0,0,
1980-81,Burgos,Elche,1,1,
1980-81,'Linares CF','Getafe Deportivo',2,0,
1980-81,'Recreativo de Huelva','AD Ceuta',1,0,
1980-81,'Atletico Madrileno','Palencia CF',3,0,
1980-81,Castilla,'Linares CF',3,0,
1980-81,Sabadell,Burgos,1,5,
1980-81,Granada,'Atletico Madrileno',1,0,
1980-81,'AD Ceuta',Santander,0,1,
1980-81,Alaves,Oviedo,3,0,
1980-81,'Palencia CF',Castellon,1,1,
1980-81,'CD Malaga',Cadiz,2,1,
1980-81,Barakaldo,Levante,1,0,
1980-81,'Rayo Vallecano',Elche,0,2,
1980-81,'Getafe Deportivo','Recreativo de Huelva',1,0,
1980-81,Elche,Sabadell,2,3,
1980-81,Castellon,Granada,3,1,
1980-81,'Linares CF','Palencia CF',0,0,
1980-81,Levante,Alaves,2,0,
1980-81,Burgos,'AD Ceuta',1,0,
1980-81,'Atletico Madrileno',Barakaldo,1,0,
1980-81,Cadiz,'Rayo Vallecano',1,1,
1980-81,Santander,'Getafe Deportivo',3,0,
1980-81,Oviedo,'CD Malaga',2,2,
1980-81,'Recreativo de Huelva',Castilla,2,0,
1980-81,Castilla,Santander,4,1,
1980-81,Barakaldo,Castellon,2,0,
1980-81,'CD Malaga',Levante,0,3,
1980-81,Granada,'Linares CF',3,1,
1980-81,Alaves,'Atletico Madrileno',4,1,
1980-81,'Rayo Vallecano',Sabadell,1,0,
1980-81,'AD Ceuta',Elche,1,1,
1980-81,Cadiz,Oviedo,1,1,
1980-81,'Palencia CF','Recreativo de Huelva',0,1,
1980-81,'Getafe Deportivo',Burgos,0,0,
1980-81,Sabadell,'AD Ceuta',3,0,
1980-81,Oviedo,'Rayo Vallecano',0,2,
1980-81,Elche,'Getafe Deportivo',2,1,
1980-81,'Recreativo de Huelva',Granada,4,1,
1980-81,Burgos,Castilla,1,0,
1980-81,'Linares CF',Barakaldo,1,0,
1980-81,Castellon,Alaves,1,1,
1980-81,Levante,Cadiz,1,0,
1980-81,'Atletico Madrileno','CD Malaga',1,2,
1980-81,Santander,'Palencia CF',2,0,
1980-81,Castilla,Elche,1,2,
1980-81,'Palencia CF',Burgos,0,1,
1980-81,Cadiz,'Atletico Madrileno',1,0,
1980-81,Granada,Santander,0,0,
1980-81,'Getafe Deportivo',Sabadell,4,2,
1980-81,'CD Malaga',Castellon,0,0,
1980-81,Alaves,'Linares CF',4,1,
1980-81,'Rayo Vallecano','AD Ceuta',2,0,
1980-81,Barakaldo,'Recreativo de Huelva',2,0,
1980-81,Oviedo,Levante,1,0,
1980-81,Sabadell,Castilla,1,0,
1980-81,Castellon,Cadiz,3,1,
1980-81,Burgos,Granada,1,1,
1980-81,'Atletico Madrileno',Oviedo,1,0,
1980-81,'AD Ceuta','Getafe Deportivo',3,2,
1980-81,'Linares CF','CD Malaga',0,2,
1980-81,Elche,'Palencia CF',1,1,
1980-81,Santander,Barakaldo,3,0,
1980-81,Levante,'Rayo Vallecano',0,0,
1980-81,'Recreativo de Huelva',Alaves,1,0,
1980-81,'Palencia CF',Sabadell,1,0,
1980-81,Oviedo,Castellon,1,1,
1980-81,'CD Malaga','Recreativo de Huelva',2,1,
1980-81,Granada,Elche,1,1,
1980-81,Levante,'Atletico Madrileno',3,1,
1980-81,Barakaldo,Burgos,1,1,
1980-81,Castilla,'AD Ceuta',2,1,
1980-81,Cadiz,'Linares CF',4,1,
1980-81,'Rayo Vallecano','Getafe Deportivo',1,1,
1980-81,Alaves,Santander,3,0,
1980-81,'Atletico Madrileno','Rayo Vallecano',1,1,
1980-81,Castellon,Levante,0,1,
1980-81,'Getafe Deportivo',Castilla,1,1,
1980-81,Santander,'CD Malaga',3,2,
1980-81,Sabadell,Granada,3,1,
1980-81,'AD Ceuta','Palencia CF',1,2,
1980-81,'Recreativo de Huelva',Cadiz,1,1,
1980-81,'Linares CF',Oviedo,0,0,
1980-81,Elche,Barakaldo,4,1,
1980-81,Burgos,Alaves,0,1,
1980-81,Granada,'AD Ceuta',1,1,
1980-81,Alaves,Elche,1,1,
1980-81,'Palencia CF','Getafe Deportivo',2,0,
1980-81,'Atletico Madrileno',Castellon,1,0,
1980-81,Levante,'Linares CF',1,0,
1980-81,Cadiz,Santander,1,2,
1980-81,Barakaldo,Sabadell,1,1,
1980-81,'Rayo Vallecano',Castilla,2,0,
1980-81,'CD Malaga',Burgos,1,0,
1980-81,Oviedo,'Recreativo de Huelva',1,1,
1980-81,Castilla,'Palencia CF',1,0,
1980-81,'AD Ceuta',Barakaldo,1,0,
1980-81,Sabadell,Alaves,2,0,
1980-81,'Getafe Deportivo',Granada,3,2,
1980-81,'Rayo Vallecano',Castellon,0,0,
1980-81,Elche,'CD Malaga',2,2,
1980-81,Burgos,Cadiz,4,1,
1980-81,'Linares CF','Atletico Madrileno',1,2,
1980-81,'Recreativo de Huelva',Levante,3,1,
1980-81,Santander,Oviedo,1,0,
1980-81,'Atletico Madrileno','Recreativo de Huelva',3,0,
1980-81,'CD Malaga',Sabadell,1,1,
1980-81,Castellon,'Linares CF',2,1,
1980-81,Granada,Castilla,2,1,
1980-81,Levante,Santander,2,0,
1980-81,'Palencia CF','Rayo Vallecano',2,0,
1980-81,Cadiz,Elche,2,0,
1980-81,Barakaldo,'Getafe Deportivo',4,2,
1980-81,Oviedo,Burgos,2,1,
1980-81,Alaves,'AD Ceuta',2,0,
1980-81,Levante,Burgos,2,0,
1980-81,'Linares CF','Rayo Vallecano',0,0,
1980-81,Cadiz,Sabadell,2,3,
1980-81,Castellon,'Recreativo de Huelva',1,1,
1980-81,Alaves,'Getafe Deportivo',2,0,
1980-81,'CD Malaga','AD Ceuta',2,1,
1980-81,'Atletico Madrileno',Santander,2,1,
1980-81,Barakaldo,Castilla,2,1,
1980-81,Oviedo,Elche,1,1,
1980-81,Granada,'Palencia CF',2,0,
1980-81,Castilla,Alaves,3,2,
1980-81,Santander,Castellon,1,1,
1980-81,Elche,Levante,2,0,
1980-81,Burgos,'Atletico Madrileno',0,1,
1980-81,Sabadell,Oviedo,0,1,
1980-81,'Rayo Vallecano',Granada,1,0,
1980-81,'Recreativo de Huelva','Linares CF',1,0,
1980-81,'Getafe Deportivo','CD Malaga',3,0,
1980-81,'AD Ceuta',Cadiz,3,1,
1980-81,'Palencia CF',Barakaldo,0,0,
1980-81,Barakaldo,Granada,2,1,
1980-81,Castellon,Burgos,4,1,
1980-81,Levante,Sabadell,0,1,
1980-81,Oviedo,'AD Ceuta',0,0,
1980-81,'Recreativo de Huelva','Rayo Vallecano',1,0,
1980-81,Cadiz,'Getafe Deportivo',3,0,
1980-81,'Atletico Madrileno',Elche,1,0,
1980-81,'CD Malaga',Castilla,3,3,
1980-81,Alaves,'Palencia CF',1,0,
1980-81,'Linares CF',Santander,0,0,
1980-81,Castilla,Cadiz,1,2,
1980-81,Sabadell,'Atletico Madrileno',3,0,
1980-81,Burgos,'Linares CF',3,2,
1980-81,Granada,Alaves,1,0,
1980-81,Elche,Castellon,4,0,
1980-81,'AD Ceuta',Levante,1,0,
1980-81,Santander,'Recreativo de Huelva',2,1,
1980-81,'Rayo Vallecano',Barakaldo,3,1,
1980-81,'Palencia CF','CD Malaga',0,1,
1980-81,'Getafe Deportivo',Oviedo,1,2,
1980-81,Castellon,Sabadell,2,1,
1980-81,Cadiz,'Palencia CF',3,1,
1980-81,Santander,'Rayo Vallecano',2,1,
1980-81,Oviedo,Castilla,1,0,
1980-81,'Linares CF',Elche,1,0,
1980-81,Levante,'Getafe Deportivo',2,2,
1980-81,'Recreativo de Huelva',Burgos,1,1,
1980-81,Alaves,Barakaldo,2,0,
1980-81,'CD Malaga',Granada,2,0,
1980-81,'Atletico Madrileno','AD Ceuta',3,0,
1980-81,Castilla,Levante,1,2,
1980-81,Sabadell,'Linares CF',1,0,
1980-81,'AD Ceuta',Castellon,0,0,
1980-81,Granada,Cadiz,0,0,
1980-81,'Rayo Vallecano',Alaves,1,0,
1980-81,'Getafe Deportivo','Atletico Madrileno',1,1,
1980-81,Burgos,Santander,4,0,
1980-81,Elche,'Recreativo de Huelva',1,0,
1980-81,Barakaldo,'CD Malaga',3,1,
1980-81,'Palencia CF',Oviedo,0,0,
1980-81,'Recreativo de Huelva',Sabadell,0,1,
1980-81,'Linares CF','AD Ceuta',2,0,
1980-81,'Atletico Madrileno',Castilla,1,3,
1980-81,Cadiz,Barakaldo,4,0,
1980-81,Castellon,'Getafe Deportivo',0,0,
1980-81,Levante,'Palencia CF',1,0,
1980-81,'CD Malaga',Alaves,2,2,
1980-81,Santander,Elche,2,2,
1980-81,Burgos,'Rayo Vallecano',2,2,
1980-81,Oviedo,Granada,1,1,
1980-81,Castilla,Castellon,0,0,
1980-81,Elche,Burgos,2,1,
1980-81,Sabadell,Santander,2,1,
1980-81,'Palencia CF','Atletico Madrileno',2,0,
1980-81,'Getafe Deportivo','Linares CF',1,2,
1980-81,'AD Ceuta','Recreativo de Huelva',1,0,
1980-81,Barakaldo,Oviedo,0,0,
1980-81,'Rayo Vallecano','CD Malaga',0,0,
1980-81,Granada,Levante,1,0,
1980-81,Alaves,Cadiz,1,2,
1980-81,Burgos,Sabadell,1,1,
1980-81,'Linares CF',Castilla,2,0,
1980-81,Levante,Barakaldo,1,0,
1980-81,'Atletico Madrileno',Granada,3,1,
1980-81,Elche,'Rayo Vallecano',1,1,
1980-81,Castellon,'Palencia CF',4,2,
1980-81,Cadiz,'CD Malaga',0,1,
1980-81,Oviedo,Alaves,1,0,
1980-81,'Recreativo de Huelva','Getafe Deportivo',0,1,
1980-81,Santander,'AD Ceuta',2,0,
1980-81,Castilla,'Recreativo de Huelva',3,1,
1980-81,Sabadell,Elche,1,2,
1980-81,Alaves,Levante,1,0,
1980-81,'Rayo Vallecano',Cadiz,1,0,
1980-81,Barakaldo,'Atletico Madrileno',1,0,
1980-81,Granada,Castellon,2,1,
1980-81,'AD Ceuta',Burgos,3,0,
1980-81,'Palencia CF','Linares CF',1,0,
1980-81,'CD Malaga',Oviedo,1,0,
1980-81,'Getafe Deportivo',Santander,2,2,
1980-81,Castellon,Barakaldo,1,0,
1980-81,Oviedo,Cadiz,1,1,
1980-81,Levante,'CD Malaga',2,4,
1980-81,Sabadell,'Rayo Vallecano',0,0,
1980-81,Burgos,'Getafe Deportivo',0,1,
1980-81,Santander,Castilla,2,1,
1980-81,'Recreativo de Huelva','Palencia CF',0,0,
1980-81,'Atletico Madrileno',Alaves,1,2,
1980-81,Elche,'AD Ceuta',2,0,
1980-81,'Linares CF',Granada,2,3,
1980-81,Castilla,Burgos,5,1,
1980-81,Alaves,Castellon,0,1,
1980-81,'Rayo Vallecano',Oviedo,1,1,
1980-81,'AD Ceuta',Sabadell,0,0,
1980-81,Granada,'Recreativo de Huelva',2,1,
1980-81,'Getafe Deportivo',Elche,2,0,
1980-81,Cadiz,Levante,2,0,
1980-81,Barakaldo,'Linares CF',1,2,
1980-81,'CD Malaga','Atletico Madrileno',0,1,
1980-81,'Palencia CF',Santander,1,0,
1980-81,Levante,Oviedo,2,2,
1980-81,Castellon,'CD Malaga',0,0,
1980-81,'Recreativo de Huelva',Barakaldo,1,0,
1980-81,Burgos,'Palencia CF',2,1,
1980-81,Sabadell,'Getafe Deportivo',2,1,
1980-81,Santander,Granada,2,0,
1980-81,Elche,Castilla,2,1,
1980-81,'AD Ceuta','Rayo Vallecano',1,0,
1980-81,'Atletico Madrileno',Cadiz,1,1,
1980-81,'Linares CF',Alaves,0,0,
1980-81,Alaves,'Recreativo de Huelva',3,0,
1980-81,Barakaldo,Santander,0,1,
1980-81,Cadiz,Castellon,3,0,
1980-81,Granada,Burgos,0,1,
1980-81,'Palencia CF',Elche,3,0,
1980-81,'Rayo Vallecano',Levante,0,0,
1980-81,'Getafe Deportivo','AD Ceuta',2,0,
1980-81,'CD Malaga','Linares CF',1,2,
1980-81,Oviedo,'Atletico Madrileno',1,0,
1980-81,Castilla,Sabadell,0,1,
1980-81,'Atletico Madrileno',Levante,2,3,
1980-81,Sabadell,'Palencia CF',1,0,
1980-81,Burgos,Barakaldo,1,0,
1980-81,Elche,Granada,1,1,
1980-81,'Linares CF',Cadiz,1,0,
1980-81,Santander,Alaves,1,0,
1980-81,'Recreativo de Huelva','CD Malaga',1,1,
1980-81,'AD Ceuta',Castilla,0,3,
1980-81,Castellon,Oviedo,3,1,
1980-81,'Getafe Deportivo','Rayo Vallecano',0,0,
1980-81,Granada,Sabadell,0,1,
1980-81,Levante,Castellon,1,0,
1980-81,Cadiz,'Recreativo de Huelva',3,1,
1980-81,'CD Malaga',Santander,3,0,
1980-81,'Palencia CF','AD Ceuta',1,0,
1980-81,Castilla,'Getafe Deportivo',1,1,
1980-81,'Rayo Vallecano','Atletico Madrileno',3,0,
1980-81,Barakaldo,Elche,0,1,
1980-81,Alaves,Burgos,1,1,
1980-81,Oviedo,'Linares CF',0,0,
1980-81,Sabadell,Barakaldo,3,2,
1980-81,'Getafe Deportivo','Palencia CF',2,1,
1980-81,Castilla,'Rayo Vallecano',0,2,
1980-81,'AD Ceuta',Granada,3,0,
1980-81,Santander,Cadiz,0,1,
1980-81,Elche,Alaves,3,2,
1980-81,Burgos,'CD Malaga',2,1,
1980-81,'Linares CF',Levante,3,1,
1980-81,'Recreativo de Huelva',Oviedo,2,0,
1980-81,Castellon,'Atletico Madrileno',2,0,
1980-81,'CD Malaga',Elche,0,2,
1980-81,Castellon,'Rayo Vallecano',2,0,
1980-81,Alaves,Sabadell,2,0,
1980-81,Levante,'Recreativo de Huelva',0,2,
1980-81,Oviedo,Santander,1,2,
1980-81,Cadiz,Burgos,3,0,
1980-81,Granada,'Getafe Deportivo',0,0,
1980-81,'Palencia CF',Castilla,1,2,
1980-81,Barakaldo,'AD Ceuta',2,0,
1980-81,'Atletico Madrileno','Linares CF',1,1,
1980-81,Elche,Cadiz,1,2,
1980-81,Santander,Levante,1,0,
1980-81,Sabadell,'CD Malaga',3,5,
1980-81,'Rayo Vallecano','Palencia CF',2,1,
1980-81,'Recreativo de Huelva','Atletico Madrileno',3,0,
1980-81,Burgos,Oviedo,1,2,
1980-81,'Linares CF',Castellon,2,1,
1980-81,Castilla,Granada,1,0,
1980-81,'Getafe Deportivo',Barakaldo,1,1,
1980-81,'AD Ceuta',Alaves,2,1,
