season,localTeam,visitorTeam,localGoals,visitorGoals,
1970-71,'Atletico de Bilbao','Atletico de Madrid',1,0,
1970-71,'Celta de Vigo','CD Malaga',0,0,
1970-71,Elche,'Real Sociedad',1,2,
1970-71,Espanol,Granada,1,0,
1970-71,'Las Palmas',Valencia,0,0,
1970-71,'Real Madrid',Sevilla,4,0,
1970-71,Sabadell,'Sporting de Gijon',2,1,
1970-71,Zaragoza,Barcelona,1,2,
1970-71,'Atletico de Bilbao','Las Palmas',1,0,
1970-71,'Atletico de Madrid',Zaragoza,3,0,
1970-71,Barcelona,'Celta de Vigo',2,1,
1970-71,'Sporting de Gijon',Elche,3,1,
1970-71,Granada,'Real Madrid',2,0,
1970-71,'CD Malaga',Sabadell,1,0,
1970-71,'Real Sociedad',Espanol,1,0,
1970-71,Sevilla,Valencia,2,2,
1970-71,'Celta de Vigo','Atletico de Madrid',3,2,
1970-71,Elche,'CD Malaga',1,1,
1970-71,Espanol,'Sporting de Gijon',2,0,
1970-71,'Real Madrid','Real Sociedad',1,0,
1970-71,Sabadell,Barcelona,2,1,
1970-71,Sevilla,'Las Palmas',3,1,
1970-71,Valencia,Granada,2,1,
1970-71,Zaragoza,'Atletico de Bilbao',1,2,
1970-71,'Atletico de Bilbao','Celta de Vigo',2,0,
1970-71,'Atletico de Madrid',Sabadell,4,1,
1970-71,Barcelona,Elche,0,0,
1970-71,'Sporting de Gijon','Real Madrid',0,1,
1970-71,Granada,Sevilla,0,0,
1970-71,'Las Palmas',Zaragoza,4,0,
1970-71,'CD Malaga',Espanol,0,0,
1970-71,'Real Sociedad',Valencia,0,0,
1970-71,'Celta de Vigo',Zaragoza,2,0,
1970-71,Elche,'Atletico de Madrid',0,4,
1970-71,Espanol,Barcelona,0,1,
1970-71,'Las Palmas',Granada,2,0,
1970-71,'Real Madrid','CD Malaga',2,2,
1970-71,Sabadell,'Atletico de Bilbao',1,0,
1970-71,Sevilla,'Real Sociedad',1,0,
1970-71,Valencia,'Sporting de Gijon',1,0,
1970-71,'Atletico de Bilbao',Elche,2,0,
1970-71,'Atletico de Madrid',Espanol,3,0,
1970-71,Barcelona,'Real Madrid',0,1,
1970-71,'Celta de Vigo','Las Palmas',1,0,
1970-71,'Sporting de Gijon',Sevilla,4,0,
1970-71,'CD Malaga',Valencia,0,1,
1970-71,'Real Sociedad',Granada,1,1,
1970-71,Zaragoza,Sabadell,3,1,
1970-71,Elche,Zaragoza,2,1,
1970-71,Espanol,'Atletico de Bilbao',1,0,
1970-71,Granada,'Sporting de Gijon',3,0,
1970-71,'Real Sociedad','Las Palmas',1,0,
1970-71,'Real Madrid','Atletico de Madrid',1,0,
1970-71,Sabadell,'Celta de Vigo',3,2,
1970-71,Sevilla,'CD Malaga',1,0,
1970-71,Valencia,Barcelona,1,1,
1970-71,'Atletico de Madrid',Valencia,3,0,
1970-71,'Atletico de Bilbao','Real Madrid',0,1,
1970-71,Barcelona,Sevilla,5,2,
1970-71,'Celta de Vigo',Elche,3,0,
1970-71,'Sporting de Gijon','Real Sociedad',2,0,
1970-71,'Las Palmas',Sabadell,5,0,
1970-71,'CD Malaga',Granada,1,0,
1970-71,Zaragoza,Espanol,2,2,
1970-71,Elche,Sabadell,0,0,
1970-71,Espanol,'Celta de Vigo',0,1,
1970-71,'Sporting de Gijon','Las Palmas',2,0,
1970-71,Granada,Barcelona,0,2,
1970-71,'Real Sociedad','CD Malaga',1,2,
1970-71,'Real Madrid',Zaragoza,2,1,
1970-71,Sevilla,'Atletico de Madrid',1,1,
1970-71,Valencia,'Atletico de Bilbao',4,0,
1970-71,'Atletico de Madrid',Granada,3,0,
1970-71,'Atletico de Bilbao',Sevilla,1,0,
1970-71,Barcelona,'Real Sociedad',4,0,
1970-71,'Celta de Vigo','Real Madrid',2,0,
1970-71,Elche,'Las Palmas',2,0,
1970-71,'CD Malaga','Sporting de Gijon',3,0,
1970-71,Sabadell,Espanol,0,0,
1970-71,Zaragoza,Valencia,0,2,
1970-71,Espanol,Elche,2,0,
1970-71,'Sporting de Gijon',Barcelona,0,2,
1970-71,Granada,'Atletico de Bilbao',2,2,
1970-71,'Las Palmas','CD Malaga',1,2,
1970-71,'Real Sociedad','Atletico de Madrid',0,1,
1970-71,'Real Madrid',Sabadell,3,1,
1970-71,Sevilla,Zaragoza,4,2,
1970-71,Valencia,'Celta de Vigo',2,1,
1970-71,'Atletico de Bilbao','Real Sociedad',1,1,
1970-71,'Atletico de Madrid','Sporting de Gijon',2,0,
1970-71,Barcelona,'CD Malaga',1,0,
1970-71,'Celta de Vigo',Sevilla,2,0,
1970-71,Elche,'Real Madrid',0,1,
1970-71,'Las Palmas',Espanol,0,0,
1970-71,Sabadell,Valencia,0,1,
1970-71,Zaragoza,Granada,0,0,
1970-71,'CD Malaga','Atletico de Madrid',0,0,
1970-71,'Real Madrid',Espanol,1,0,
1970-71,'Sporting de Gijon','Atletico de Bilbao',3,1,
1970-71,Granada,'Celta de Vigo',1,0,
1970-71,'Real Sociedad',Zaragoza,2,0,
1970-71,Sevilla,Sabadell,1,0,
1970-71,Valencia,Elche,3,0,
1970-71,Barcelona,'Las Palmas',2,0,
1970-71,'Atletico de Bilbao','CD Malaga',2,1,
1970-71,'Atletico de Madrid',Barcelona,1,1,
1970-71,'Celta de Vigo','Real Sociedad',0,0,
1970-71,Elche,Sevilla,1,0,
1970-71,Espanol,Valencia,1,0,
1970-71,'Las Palmas','Real Madrid',0,0,
1970-71,Sabadell,Granada,0,1,
1970-71,Zaragoza,'Sporting de Gijon',0,0,
1970-71,Cadiz,Villarreal,1,2,
1970-71,Deportivo,Mallorca,2,1,
1970-71,Moscardo,'Rayo Vallecano',0,3,
1970-71,'Calvo Sotelo',Burgos,0,1,
1970-71,Ontinyent,Pontevedra,2,2,
1970-71,Logrones,Betis,2,2,
1970-71,Castellon,Santander,2,1,
1970-71,Langreo,Cordoba,1,0,
1970-71,'Sant Andreu',Oviedo,2,0,
1970-71,Hercules,'Racing de Ferrol',2,0,
1970-71,Pontevedra,Logrones,2,1,
1970-71,Burgos,'Sant Andreu',3,1,
1970-71,Mallorca,Moscardo,5,1,
1970-71,Cordoba,Ontinyent,3,1,
1970-71,Oviedo,Cadiz,1,2,
1970-71,Santander,Langreo,0,1,
1970-71,Betis,'Calvo Sotelo',2,1,
1970-71,Villarreal,Deportivo,1,1,
1970-71,'Rayo Vallecano',Hercules,1,0,
1970-71,'Racing de Ferrol',Castellon,0,1,
1970-71,Cadiz,Burgos,3,1,
1970-71,Moscardo,Villarreal,1,0,
1970-71,Langreo,'Racing de Ferrol',0,1,
1970-71,Logrones,'Calvo Sotelo',3,1,
1970-71,Ontinyent,Santander,0,1,
1970-71,Pontevedra,Cordoba,2,0,
1970-71,Hercules,Mallorca,3,1,
1970-71,Castellon,'Rayo Vallecano',2,0,
1970-71,Deportivo,Oviedo,1,0,
1970-71,'Sant Andreu',Betis,0,0,
1970-71,'Calvo Sotelo','Sant Andreu',3,0,
1970-71,Villarreal,Hercules,1,2,
1970-71,Santander,Pontevedra,2,0,
1970-71,Oviedo,Moscardo,2,0,
1970-71,Mallorca,Castellon,1,2,
1970-71,'Rayo Vallecano',Langreo,2,0,
1970-71,Betis,Cadiz,1,0,
1970-71,Burgos,Deportivo,3,1,
1970-71,'Racing de Ferrol',Ontinyent,1,0,
1970-71,Cordoba,Logrones,3,1,
1970-71,Logrones,'Sant Andreu',1,0,
1970-71,Langreo,Mallorca,0,0,
1970-71,Castellon,Villarreal,1,1,
1970-71,Cadiz,'Calvo Sotelo',3,0,
1970-71,Ontinyent,'Rayo Vallecano',0,0,
1970-71,Hercules,Oviedo,1,1,
1970-71,Cordoba,Santander,1,0,
1970-71,Deportivo,Betis,3,1,
1970-71,Moscardo,Burgos,0,0,
1970-71,Pontevedra,'Racing de Ferrol',2,0,
1970-71,'Rayo Vallecano',Pontevedra,4,2,
1970-71,Burgos,Hercules,1,0,
1970-71,Santander,Logrones,0,2,
1970-71,Mallorca,Ontinyent,1,1,
1970-71,Oviedo,Castellon,3,2,
1970-71,'Racing de Ferrol',Cordoba,1,0,
1970-71,'Calvo Sotelo',Deportivo,0,1,
1970-71,Villarreal,Langreo,2,0,
1970-71,'Sant Andreu',Cadiz,1,0,
1970-71,Betis,Moscardo,2,1,
1970-71,Deportivo,'Sant Andreu',0,0,
1970-71,Castellon,Burgos,1,0,
1970-71,Langreo,Oviedo,1,0,
1970-71,Moscardo,'Calvo Sotelo',2,1,
1970-71,Pontevedra,Mallorca,0,0,
1970-71,Cordoba,'Rayo Vallecano',4,1,
1970-71,Santander,'Racing de Ferrol',1,0,
1970-71,Hercules,Betis,0,0,
1970-71,Logrones,Cadiz,3,1,
1970-71,Ontinyent,Villarreal,2,2,
1970-71,Cadiz,Deportivo,3,1,
1970-71,Villarreal,Pontevedra,2,0,
1970-71,Oviedo,Ontinyent,3,0,
1970-71,'Racing de Ferrol',Logrones,4,1,
1970-71,Betis,Castellon,4,0,
1970-71,Mallorca,Cordoba,0,1,
1970-71,'Rayo Vallecano',Santander,2,0,
1970-71,'Calvo Sotelo',Hercules,1,1,
1970-71,Burgos,Langreo,2,0,
1970-71,'Sant Andreu',Moscardo,0,0,
1970-71,Pontevedra,Oviedo,0,0,
1970-71,Cordoba,Villarreal,5,1,
1970-71,Santander,Mallorca,1,1,
1970-71,Langreo,Betis,0,0,
1970-71,Castellon,'Calvo Sotelo',0,0,
1970-71,Ontinyent,Burgos,4,0,
1970-71,Logrones,Deportivo,0,0,
1970-71,Hercules,'Sant Andreu',1,0,
1970-71,Moscardo,Cadiz,0,0,
1970-71,'Racing de Ferrol','Rayo Vallecano',1,0,
1970-71,'Sant Andreu',Castellon,3,1,
1970-71,Betis,Ontinyent,1,0,
1970-71,Deportivo,Moscardo,3,1,
1970-71,Mallorca,'Racing de Ferrol',1,1,
1970-71,Burgos,Pontevedra,2,0,
1970-71,Cadiz,Hercules,0,0,
1970-71,'Rayo Vallecano',Logrones,1,0,
1970-71,Oviedo,Cordoba,3,2,
1970-71,Villarreal,Santander,1,1,
1970-71,'Calvo Sotelo',Langreo,1,0,
1970-71,Castellon,Cadiz,1,1,
1970-71,Ontinyent,'Calvo Sotelo',2,0,
1970-71,Logrones,Moscardo,4,1,
1970-71,Pontevedra,Betis,5,2,
1970-71,Langreo,'Sant Andreu',1,1,
1970-71,Cordoba,Burgos,3,0,
1970-71,'Racing de Ferrol',Villarreal,1,0,
1970-71,'Rayo Vallecano',Mallorca,0,0,
1970-71,Santander,Oviedo,3,2,
1970-71,Hercules,Deportivo,0,0,
1970-71,Betis,Cordoba,0,1,
1970-71,Moscardo,Hercules,2,0,
1970-71,Deportivo,Castellon,1,0,
1970-71,Villarreal,'Rayo Vallecano',2,1,
1970-71,'Calvo Sotelo',Pontevedra,1,0,
1970-71,Mallorca,Logrones,3,0,
1970-71,Oviedo,'Racing de Ferrol',6,1,
1970-71,Cadiz,Langreo,0,0,
1970-71,Burgos,Santander,3,1,
1970-71,'Sant Andreu',Ontinyent,2,1,
1970-71,Pontevedra,'Sant Andreu',0,2,
1970-71,Cordoba,'Calvo Sotelo',2,1,
1970-71,Logrones,Hercules,1,0,
1970-71,Santander,Betis,0,1,
1970-71,Langreo,Deportivo,1,0,
1970-71,Castellon,Moscardo,3,0,
1970-71,Mallorca,Villarreal,2,1,
1970-71,'Rayo Vallecano',Oviedo,1,0,
1970-71,Ontinyent,Cadiz,0,0,
1970-71,'Racing de Ferrol',Burgos,1,0,
1970-71,Betis,'Racing de Ferrol',4,0,
1970-71,Burgos,'Rayo Vallecano',2,0,
1970-71,Deportivo,Ontinyent,4,0,
1970-71,Cadiz,Pontevedra,0,0,
1970-71,Oviedo,Mallorca,0,1,
1970-71,Hercules,Castellon,1,1,
1970-71,Moscardo,Langreo,1,1,
1970-71,Villarreal,Logrones,2,0,
1970-71,'Calvo Sotelo',Santander,3,2,
1970-71,'Sant Andreu',Cordoba,2,1,
1970-71,Santander,'Sant Andreu',2,0,
1970-71,'Rayo Vallecano',Betis,0,1,
1970-71,Mallorca,Burgos,2,1,
1970-71,Langreo,Hercules,0,0,
1970-71,Ontinyent,Moscardo,0,1,
1970-71,Cordoba,Cadiz,0,0,
1970-71,Pontevedra,Deportivo,1,0,
1970-71,Villarreal,Oviedo,2,1,
1970-71,'Racing de Ferrol','Calvo Sotelo',1,0,
1970-71,Logrones,Castellon,0,1,
1970-71,Betis,Mallorca,2,0,
1970-71,Castellon,Langreo,2,0,
1970-71,Cadiz,Santander,3,0,
1970-71,Deportivo,Cordoba,1,0,
1970-71,Moscardo,Pontevedra,0,0,
1970-71,'Calvo Sotelo','Rayo Vallecano',0,1,
1970-71,Hercules,Ontinyent,1,1,
1970-71,Oviedo,Logrones,0,0,
1970-71,Burgos,Villarreal,2,1,
1970-71,'Sant Andreu','Racing de Ferrol',2,0,
1970-71,Mallorca,'Calvo Sotelo',3,0,
1970-71,Ontinyent,Castellon,1,0,
1970-71,'Racing de Ferrol',Cadiz,0,1,
1970-71,Cordoba,Moscardo,2,0,
1970-71,Pontevedra,Hercules,2,0,
1970-71,Logrones,Langreo,0,2,
1970-71,Villarreal,Betis,1,3,
1970-71,Santander,Deportivo,2,0,
1970-71,'Rayo Vallecano','Sant Andreu',3,0,
1970-71,Oviedo,Burgos,2,1,
1970-71,Castellon,Pontevedra,2,0,
