Unnamed: 0,Home_Team,Away_team,Home_score,Away_score,Season,Result
53160,ESTAC Troyes,Besan?n RC,1,0,1991-1992,win
37638,AS Saint-Etienne,AS Nancy-Lorraine,2,0,1972-1973,win
56851,'CD Malaga','Deportivo Aragon',1,0,1985-86,win
7616,CO Roubaix-Tourcoing,Limoges Football,1,0,1957-1958,win
35648,Numancia,'Real Madrid',1,1,1999-00,draw
34966,'Granada 74',Albacete,1,0,2007-08,win
37564,FC Girondins de Bordeaux,Red Star FC,2,1,1961-1962,win
92440,Burgos,Betis,1,0,1973-74,win
21023,Stade de Vallauris,FC S?e 34,1,0,1993-1994,win
61320,Angers SCO,EA Guingamp,1,1,2015-2016,draw
93121,Tenerife,'Gimnastic de Tarragona',1,0,2007-08,win
82809,Deportivo,Betis,1,0,1971-72,win
117533,N?es Olympique,Valenciennes FC,1,0,2014-2015,win
22562,Mallorca,Logrones,1,0,1985-86,win
5368, ESTAC Troyes,RC Lens,0,1,2016-2017,lose
121041,Valencia,Logrones,2,0,1987-88,win
5597,Clermont Foot 63,Tours FC,1,1,2013-2014,draw
68226,AS Poissy,US Maubeuge,1,0,1985-1986,win
9725,Paris FC,US Cr?eil-Lusitanos,1,1,2016-2017,draw
18868,Valencia,Betis,1,0,1994-95,win
108603,FC Sochaux-Montb?iard,Valenciennes FC,1,0,2017-2018,win
9963,Grenoble Foot 38,Clermont Foot 63,1,1,2005-2006,draw
68697,AS Monaco FC,AS Nancy-Lorraine,1,0,2005-2006,win
34388,Oviedo,Sevilla,1,0,1993-94,win
47591,AS Nancy-Lorraine,Pierrots Vauban,1,0,1990-1991,win
66602,Espanol,Malaga,1,0,2008-09,win
24608,Barcelona,Getafe,3,0,2012-13,win
74603,Olympique d'Al? en C?ennes,FC Martigues,1,0,1987-1988,win
16803,SC Toulon,FC Nantes,1,1,1991-1992,draw
22534,'Bilbao Athletic','Barcelona Atletic',1,0,1985-86,win
29900,US Boulogne CO,GFC Ajaccio,1,0,2005-2006,win
6838,Stade rapha?ois,Montpellier HSC r?erve,0,0,1988-1989,draw
39468,Toulouse FC,FC Martigues,1,0,1978-1979,win
54448,Hercules,'Real Madrid',1,1,1976-77,draw
56341,USM Malakoff Omnisports,SC Douai,1,0,1978-1979,win
60890,Le Havre AC,GFC Ajaccio,1,0,2014-2015,win
12278,Bourg-en-Bresse 01,US Orl?ns,1,1,2016-2017,draw
82987,'Racing de Ferrol','Lorca Deportiva',1,1,2005-06,draw
46198,Entente SSG,FC Libourne,1,0,2008-2009,win
49890,AS Nancy-Lorraine,FC Sochaux-Montb?iard,1,0,1990-1991,win
12620,US Concarneau,Lyon-La Duch?e,1,0,2016-2017,win
3414,Ponferradina,Valladolid,1,1,2014-15,draw
51188,Cordoba,Leganes,1,1,2002-03,draw
94753,Numancia,'Barcelona Atletic',1,1,1998-99,draw
85662,Acad?ie Moulins,Limoges Football,1,1,1960-1961,draw
41020,'Las Palmas','Sporting de Gijon',1,0,1974-75,win
69307,FC Nancy,FC Sochaux-Montb?iard r?erve,2,1,1962-1963,win
121088,Atlético Madrid,Athletic Club,1,0,2015/2016,win
90901,Werder Bremen,SC Freiburg,1,1,2011,draw
62051,Arsenal,Bolton Wanderers,1,0,2003/2004,win
11232,Stade lavallois MFC r?erve,Racing Club de France r?erve,1,1,1983-1984,draw
83834,Oviedo,Levante,1,0,1981-82,win
88088,Espanol,Barcelona,1,1,2002-03,draw
209,1. FSV Mainz 05,Werder Bremen,1,0,2017,win
46005,Limoges Football,LB Ch?eauroux,1,1,1981-1982,draw
61389,FC Melun,AS Police Paris,1,1,1979-1980,draw
40872,USO Mondeville,Saint-Nazaire AF,2,0,1976-1977,win
